"symbol 
"
POLYCAB
PAYTM
POLICYBZR
SBICARD
FORTIS
BHARATFORG
GODREJPROP
NHPC
TIINDIA
OFSS
OIL
SUZLON
PHOENIXLTD
ASHOKLEY
MANKIND
IRCTC
PIIND
YESBANK
AUROPHARMA
APLAPOLLO
HINDPETRO
PRESTIGE
SRF
OBEROIRLTY
SUPREMEIND
FEDERALBNK
COLPAL
JUBLFOOD
INDUSTOWER
INDUSINDBK
PERSISTENT
GMRAIRPORT
UPL
IDFCFIRSTB
HEROMOTOCO
MUTHOOTFIN
CUMMINSIND
DABUR
LUPIN
PAGEIND
BHEL
MFSL
MPHASIS
BSE
AUBANK
NMDC
DIXON
MARICO
COFORGE
HDFCAMC
NBCC
NH
AFFLE
KAYNES
PNBHOUSING
LAURUSLABS
BANDHANBNK
PPLPHARMA
HSCL
WOCKPHARMA
PGEL
INOXWIND
MANAPPURAM
TATACHEM
POONAWALLA
CESC
RPOWER
KARURVYSYA
AARTIIND
ANGELONE
AMBER
REDINGTON
CYIENT
FSL
ABREL
KEC
JBCHEPHARM
CHOLAHLDNG
MCX
ZENSARTECH
NEULANDLAB
IEX
AEGISLOG
RADICO
ASTERDM
DELHIVERY
CAMS
IIFL
KFINTECH
NAVINFLUOR
GLAND
CDSL
CROMPTON
ARE&M
NATCOPHARM
CASTROLIND
LALPATHLAB
WELCORP
RAMCOCEM
FIVESTAR
